idx,text,all_labels,all_preds,all_fixed_preds,matching_comments
190,"terima kasih atas fasilitasnya . kamar mandi ( air panas ) oke . tempat tidur oke . lemari oke . ac oke snack oke . tempat strategis , dekat swalayan dan tempat makan . parkir motor ada , tetapi sempit . wifi lumayan . tv sinyal sering kabur . alat sholat kurang lengkap , hanya tersedia sajadah . pintu gerbang komplek buka jam 05:00 s/d 23:00 wib .","('tempat', 'strategis', 'positif')","('pintu gerbang komplek', 'buka', 'negatif')","('pintu gerbang komplek', 'buka', 'negatif')",No Label Matched
190,"terima kasih atas fasilitasnya . kamar mandi ( air panas ) oke . tempat tidur oke . lemari oke . ac oke snack oke . tempat strategis , dekat swalayan dan tempat makan . parkir motor ada , tetapi sempit . wifi lumayan . tv sinyal sering kabur . alat sholat kurang lengkap , hanya tersedia sajadah . pintu gerbang komplek buka jam 05:00 s/d 23:00 wib .","('tempat makan', 'dekat', 'positif')",-,-,Not Generated
192,"kamar bersih , pelayanan bagus , seluruh staf ramah . breakfastnya kurang variatif . lokasi jauh dari ke .","('lokasi', 'jauh', 'negatif')",-,-,Not Generated
192,"kamar bersih , pelayanan bagus , seluruh staf ramah . breakfastnya kurang variatif . lokasi jauh dari ke .","('staf', 'ramah', 'positif')","('setiap staf', 'ramah', 'positif')","('staf staf', 'ramah', 'positif')",Different Aspect Term
197,"kamarnya kecil apalagi untuk sholat harus di atas ranjang , ranjangnya bunyi bunyi alias sudah minta ganti , sama kurang bersih , ac tidak begitu dingin , walaupun di tengah maskot bekantan , warung warung makanan masih enak dicari .","('kamarnya', 'kurang bersih', 'negatif')","('ranjangnya', 'kurang bersih', 'negatif')","('ranjangnya', 'kurang bersih', 'negatif')",Different Aspect Term
197,"kamarnya kecil apalagi untuk sholat harus di atas ranjang , ranjangnya bunyi bunyi alias sudah minta ganti , sama kurang bersih , ac tidak begitu dingin , walaupun di tengah maskot bekantan , warung warung makanan masih enak dicari .","('ranjangnya', 'minta ganti', 'negatif')",-,-,Not Generated
197,"kamarnya kecil apalagi untuk sholat harus di atas ranjang , ranjangnya bunyi bunyi alias sudah minta ganti , sama kurang bersih , ac tidak begitu dingin , walaupun di tengah maskot bekantan , warung warung makanan masih enak dicari .","('warung warung makanan', 'masih enak dicari', 'positif')",-,-,Not Generated
203,baguss dan sngat memuaskan kamarnya .,"('kamarnya', 'sngat memuaskan', 'positif')","('kamarnya', 'memuaskan', 'positif')","('kamarnya', 'memuaskan', 'positif')",Different Sentiment Term
205,"dekat ke malioboro , minimarket , rental , becak . recommended .","('becak', 'dekat', 'positif')",-,-,Not Generated
205,"dekat ke malioboro , minimarket , rental , becak . recommended .","('malioboro', 'dekat', 'positif')",-,-,Not Generated
205,"dekat ke malioboro , minimarket , rental , becak . recommended .","('minimarket', 'dekat', 'positif')","('minimarket', 'recommended', 'positif')","('minimarket', 'recommended', 'positif')",Different Sentiment Term
205,"dekat ke malioboro , minimarket , rental , becak . recommended .","('rental', 'dekat', 'positif')",-,-,Not Generated
206,"pelayanan bagus , rapi dan bersih .",-,"('pelayanan', 'bersih', 'positif')","('pelayanan', 'bersih', 'positif')",No Label Matched
206,"pelayanan bagus , rapi dan bersih .",-,"('pelayanan', 'rapi', 'positif')","('pelayanan', 'rapi', 'positif')",No Label Matched
212,"yang menang dari hotel ini sarapannya enak , tempatnya pas banget sama tikungan jalan , dekat kemana mana , suasananya enak , lumayan bersih .","('hotel', 'lumayan bersih', 'positif')","('suasananya', 'lumayan bersih', 'positif')","('suasananya', 'lumayan bersih', 'positif')",Different Aspect Term
212,"yang menang dari hotel ini sarapannya enak , tempatnya pas banget sama tikungan jalan , dekat kemana mana , suasananya enak , lumayan bersih .","('kemana mana', 'dekat', 'positif')",-,-,Not Generated
219,sarapan nya kurang bervariasi dan lama sekali direfilnya .,"('direfilnya', 'lama sekali', 'negatif')","('sarapan nya', 'lama sekali direfilnya', 'negatif')","('sarapan nya', 'lama sekali direfilnya', 'negatif')",Subset aspect/sentiment
224,"handuk malam hari baru datang , hari keduanya : handuk tidak diganti , kopi teh tidak dikasih , perlengkapan sabun sampo harus diminta terlebih dahulu baru diberi . selain itu semuanya baik .","('handuk', 'baru datang', 'negatif')",-,-,Not Generated
224,"handuk malam hari baru datang , hari keduanya : handuk tidak diganti , kopi teh tidak dikasih , perlengkapan sabun sampo harus diminta terlebih dahulu baru diberi . selain itu semuanya baik .","('kopi', 'tidak dikasih', 'negatif')","('kopi teh', 'tidak dikasih', 'negatif')","('kopi teh', 'tidak dikasih', 'negatif')",Different Aspect Term
224,"handuk malam hari baru datang , hari keduanya : handuk tidak diganti , kopi teh tidak dikasih , perlengkapan sabun sampo harus diminta terlebih dahulu baru diberi . selain itu semuanya baik .","('perlengkapan', 'harus diminta', 'negatif')",-,-,Not Generated
224,"handuk malam hari baru datang , hari keduanya : handuk tidak diganti , kopi teh tidak dikasih , perlengkapan sabun sampo harus diminta terlebih dahulu baru diberi . selain itu semuanya baik .","('teh', 'tidak dikasih', 'negatif')","('perlengkapan sabun', 'tidak dikasih', 'negatif')","('perlengkapan sabun', 'tidak dikasih', 'negatif')",Different Aspect Term
225,kamarnya pas untuk pengantin baru dan untuk pasangan dengan 1 anak .,"('pas', 'kamarnya', 'positif')","('kamarnya', 'pas', 'positif')","('kamarnya', 'pas', 'positif')",Subset aspect/sentiment
226,"pokok nya puas , tenang suasana nya .",-,"('suasana nya', 'puas', 'positif')","('suasana nya', 'puas', 'positif')",No Label Matched
228,"memuaskan , sendok sama garpu nya kurang bersih .","('garpu', 'kurang bersih', 'negatif')","('garpu nya', 'kurang bersih', 'negatif')","('garpu nya', 'kurang bersih', 'negatif')",Different Aspect Term
234,keluarga ketinggalan kacamata baca tetapi baru beberapa jam kemudian kami datangi kembali informasi yang kami dapat justru sangat mengecewakan bahwa kacamata tersebut sudah dibuang . hal ini yang sangat disesalkan sekali bukannya disimpan terlebih dahulu .,"('kacamata', 'dibuang', 'negatif')","('kacamata', 'ketinggalan', 'negatif')","('kacamata', 'ketinggalan', 'negatif')",Different Sentiment Term
237,"handuk kasih double , ac kurang dingin , semoga lebih baik lagi .","('handuk', 'kasih double', 'positif')","('handuk', 'double', 'negatif')","('handuk', 'double', 'negatif')",No Label Matched
239,"tidak ada , bagus saya nyaman .",-,"('fasilitas', 'tidak ada', 'negatif')","('tidak', 'tidak ada', 'negatif')",No Label Matched
243,"tampilan luarnya agak ngeri , padahal untuk kamar sudah bagus .","('kamar', 'bagus', 'positif')",-,-,Not Generated
243,"tampilan luarnya agak ngeri , padahal untuk kamar sudah bagus .","('tampilan', 'agak ngeri', 'negatif')","('kamar', 'agak ngeri', 'negatif')","('kamar', 'agak ngeri', 'negatif')",Different Aspect Term
244,"kamarnya sempit banget , sampai pintu saja mentok sama ujung tempat tidur , terus karyawannya tidak helpfull , pas mau sarapan jam 7 pagi ternyata belum siap apapun , semua kosong melompong , karyawannya baru mulai masak , teh dan kopi pun belum tersedia , mohon diperbaiki lagi .","('kopi', 'belum tersedia', 'negatif')",-,-,Not Generated
244,"kamarnya sempit banget , sampai pintu saja mentok sama ujung tempat tidur , terus karyawannya tidak helpfull , pas mau sarapan jam 7 pagi ternyata belum siap apapun , semua kosong melompong , karyawannya baru mulai masak , teh dan kopi pun belum tersedia , mohon diperbaiki lagi .","('pintu', 'mentok', 'negatif')",-,-,Not Generated
244,"kamarnya sempit banget , sampai pintu saja mentok sama ujung tempat tidur , terus karyawannya tidak helpfull , pas mau sarapan jam 7 pagi ternyata belum siap apapun , semua kosong melompong , karyawannya baru mulai masak , teh dan kopi pun belum tersedia , mohon diperbaiki lagi .","('sarapan', 'belum siap', 'negatif')",-,-,Not Generated
244,"kamarnya sempit banget , sampai pintu saja mentok sama ujung tempat tidur , terus karyawannya tidak helpfull , pas mau sarapan jam 7 pagi ternyata belum siap apapun , semua kosong melompong , karyawannya baru mulai masak , teh dan kopi pun belum tersedia , mohon diperbaiki lagi .","('sarapan', 'kosong melompong', 'negatif')","('semua', 'kosong melompong', 'negatif')","('semua', 'kosong melompong', 'negatif')",Different Aspect Term
244,"kamarnya sempit banget , sampai pintu saja mentok sama ujung tempat tidur , terus karyawannya tidak helpfull , pas mau sarapan jam 7 pagi ternyata belum siap apapun , semua kosong melompong , karyawannya baru mulai masak , teh dan kopi pun belum tersedia , mohon diperbaiki lagi .","('teh', 'belum tersedia', 'negatif')",-,-,Not Generated
246,"ketika awal masuk kamar memang agak kurang enak sih wanginya , apesnya sering jepret listriknya . overall masih oke sih , ada harga ada kualitas .","('listriknya', 'sering jepret', 'negatif')",-,-,Not Generated
246,"ketika awal masuk kamar memang agak kurang enak sih wanginya , apesnya sering jepret listriknya . overall masih oke sih , ada harga ada kualitas .","('overall', 'masih oke', 'positif')","('overall', 'oke', 'positif')","('overall', 'oke', 'positif')",Different Sentiment Term
247,"kamar lumayan luas tetapi kurang bersih , ada beberapa tembok lembab dan terdapat kecoak .","('beberapa tembok', 'lembab', 'negatif')","('tembok', 'lembab', 'negatif')","('tembok', 'lembab', 'negatif')",Different Aspect Term
247,"kamar lumayan luas tetapi kurang bersih , ada beberapa tembok lembab dan terdapat kecoak .","('beberapa tembok', 'terdapat kecoak', 'negatif')","('tembok', 'terdapat kecoak', 'negatif')","('tembok', 'terdapat kecoak', 'negatif')",Different Aspect Term
248,"air panas tidak bisa , dan berisik sekali karena ada pembenahan kamar , jadi tidak bisa tidur selama saya menginap 2 hari .",-,"('air panas', 'berisik sekali', 'negatif')","('air panas', 'berisik sekali', 'negatif')",No Label Matched
259,"yang perlu diperbaiki itu wifi lantai 2 , sering disconnect . jadi suka lag kalau lagi main mobile legends .",-,"('wifi', 'perlu diperbaiki', 'negatif')","('wifi', 'perlu diperbaiki', 'negatif')",No Label Matched
265,"kamar tidak di sediakan tidak di berikan pelayanan ganti tempat , pelanggan cari sendiri .","('pelayanan', 'tidak di berikan', 'negatif')","('pelayanan ganti tempat', 'tidak di berikan', 'negatif')","('pelayanan ganti tempat', 'tidak di berikan', 'negatif')",Different Aspect Term
265,"kamar tidak di sediakan tidak di berikan pelayanan ganti tempat , pelanggan cari sendiri .",-,"('kamar', 'tidak di sediakan', 'negatif')","('kamar', 'tidak di sediakan', 'negatif')",No Label Matched
267,"ruangan nya bersih , nyaman , puas menginap di sini .","('menginap', 'puas', 'positif')","('ruangan nya', 'puas', 'positif')","('ruangan nya', 'puas', 'positif')",Different Aspect Term
270,"pelayan kurang ramah , semua oke kamar bersih , wifi mantap , lokasi stategis over all oke .","('kamar', 'bersih', 'positif')","('kamar', 'bersih', 'negatif')","('kamar', 'bersih', 'negatif')",Different Polarity
274,"tidak layak untuk hotel , penginapan apalagi airy room yang terkenal dengan bersih nyaman dengan harga lumayan standar bagi kita hanya sekedar numpang tidur .",-,"('harga', 'lumayan standar', 'positif')","('harga', 'lumayan standar', 'positif')",No Label Matched
274,"tidak layak untuk hotel , penginapan apalagi airy room yang terkenal dengan bersih nyaman dengan harga lumayan standar bagi kita hanya sekedar numpang tidur .",-,"('penginapan', 'bersih', 'positif')","('penginapan', 'bersih', 'positif')",No Label Matched
274,"tidak layak untuk hotel , penginapan apalagi airy room yang terkenal dengan bersih nyaman dengan harga lumayan standar bagi kita hanya sekedar numpang tidur .",-,"('penginapan', 'nyaman', 'positif')","('penginapan', 'nyaman', 'positif')",No Label Matched
274,"tidak layak untuk hotel , penginapan apalagi airy room yang terkenal dengan bersih nyaman dengan harga lumayan standar bagi kita hanya sekedar numpang tidur .",-,"('penginapan', 'tidak layak', 'negatif')","('penginapan', 'tidak layak', 'negatif')",No Label Matched
275,hotel yang nyaman . cocok untuk istirahat . bersih .,-,"('hotel', 'cocok', 'positif')","('hotel', 'cocok', 'positif')",No Label Matched
278,"pelayanan ramah , bersih dan fasilatas sesuai , cuma wifi agak lambat saja . lokasi dekat kemanakemana .",-,"('pelayanan', 'bersih', 'positif')","('pelayanan', 'bersih', 'positif')",No Label Matched
283,"kamar kurang sesuai dengan foto , pencahayaan lampu kuning . ada piano bilyard buat refeeshing .","('kamar', 'kurang sesuai dengan foto', 'negatif')","('kamar', 'kurang sesuai', 'negatif')","('kamar', 'kurang sesuai', 'negatif')",Different Sentiment Term
289,kebersihan seprai harus tetap dijaga iya . tetapi overall semua oke .,-,"('kebersihan seprai', 'harus tetap dijaga', 'negatif')","('kebersihan seprai', 'harus tetap dijaga', 'negatif')",No Label Matched
291,saya memesan 2 kamar . twin dan double room .,-,"('kamar', '2', 'positif')","('kamar', '2', 'positif')",No Label Matched
295,"tidak ada shower air panas , tv tabung , kamar kotor berdebu bau rokok , kolam renang kotor , kamar mandi model jaman old .","('kamar', 'berdebu', 'negatif')","('kamar', 'kotor berdebu', 'negatif')","('kamar', 'kotor berdebu', 'negatif')",Different Sentiment Term
295,"tidak ada shower air panas , tv tabung , kamar kotor berdebu bau rokok , kolam renang kotor , kamar mandi model jaman old .","('kamar', 'kotor', 'negatif')",-,-,Not Generated
295,"tidak ada shower air panas , tv tabung , kamar kotor berdebu bau rokok , kolam renang kotor , kamar mandi model jaman old .","('tv', 'tabung', 'negatif')","('tv', 'tidak ada', 'negatif')","('tv', 'tidak ada', 'negatif')",Different Sentiment Term
299,"kasur twin cukup besar , kamar bersih . minus tanpa jendela dan tidak ada lemarinya . letaknya agak ke dalam dan sekitaran hotel tidak ada jajanan atau indomart .","('jendela', 'tanpa', 'negatif')",-,-,Not Generated
299,"kasur twin cukup besar , kamar bersih . minus tanpa jendela dan tidak ada lemarinya . letaknya agak ke dalam dan sekitaran hotel tidak ada jajanan atau indomart .","('kasur twin', 'cukup besar', 'positif')","('kasur', 'cukup besar', 'positif')","('kasur', 'cukup besar', 'positif')",Different Aspect Term
299,"kasur twin cukup besar , kamar bersih . minus tanpa jendela dan tidak ada lemarinya . letaknya agak ke dalam dan sekitaran hotel tidak ada jajanan atau indomart .","('letaknya', 'agak ke dalam', 'negatif')",-,-,Not Generated
299,"kasur twin cukup besar , kamar bersih . minus tanpa jendela dan tidak ada lemarinya . letaknya agak ke dalam dan sekitaran hotel tidak ada jajanan atau indomart .","('sekitaran hotel', 'tidak ada jajanan', 'negatif')",-,-,Not Generated
300,"kotor , ac bocor , sandal kamar tidak ada . sarapan pagi tidak ada . seprai dan selimut sudah bulukan . lantai berdebu , rambut dikamar mandi nyumbat saluran air . ihh airy cari rekanan yang bagus sedikit . menyeramkan tidurnya tetapi sudah kemalaman sampai mau bagaimana lagi .","('seprai', 'bulukan', 'negatif')","('seprai', 'tidak ada', 'negatif')","('seprai', 'tidak ada', 'negatif')",Different Sentiment Term
300,"kotor , ac bocor , sandal kamar tidak ada . sarapan pagi tidak ada . seprai dan selimut sudah bulukan . lantai berdebu , rambut dikamar mandi nyumbat saluran air . ihh airy cari rekanan yang bagus sedikit . menyeramkan tidurnya tetapi sudah kemalaman sampai mau bagaimana lagi .","('tidurnya', 'menyeramkan', 'negatif')","('lantai', 'nyumbat saluran air', 'negatif')","('lantai', 'nyumbat saluran air', 'negatif')",Subset aspect/sentiment
301,"wastafel nya tersumbat dan kebersihan kamar dan kolam harusnya bisa lebih bersih , .","('kamar', 'bisa lebih bersih', 'negatif')","('kebersihan kamar', 'lebih bersih', 'negatif')","('kebersihan kamar', 'lebih bersih', 'negatif')",Subset aspect/sentiment
301,"wastafel nya tersumbat dan kebersihan kamar dan kolam harusnya bisa lebih bersih , .","('kolam', 'bisa lebih bersih', 'negatif')",-,-,Not Generated
302,"oke lah , kamar bagus sesuai dengan budget , pelayanan ramah .",-,"('kamar', 'sesuai', 'positif')","('kamar', 'sesuai', 'positif')",No Label Matched
304,"banyak jaring laba laba kasur berisik sangat tidak layak dengan nama besar dan sering malang melintang di iklan tv , sangat butuh perbaikan kedepannya .","('kasur', 'banyak jaring laba laba', 'negatif')","('kasur', 'berisik', 'negatif')","('kasur', 'berisik', 'negatif')",Different Sentiment Term
314,"tempat si oke , ada sedikit kendala yang kurang enak , seperti ada banyak kecoak di kamar , air kamar mandi buat gatal dan ber rasa aneh , sisanya baik .","('air kamar mandi', 'ber rasa aneh', 'negatif')","('tempat', 'ada sedikit kendala', 'negatif')","('tempat', 'ada sedikit kendala', 'negatif')",Subset aspect/sentiment
314,"tempat si oke , ada sedikit kendala yang kurang enak , seperti ada banyak kecoak di kamar , air kamar mandi buat gatal dan ber rasa aneh , sisanya baik .","('kamar', 'banyak kecoak', 'negatif')","('kamar', 'ada banyak kecoak', 'negatif')","('kamar', 'ada banyak kecoak', 'negatif')",Different Sentiment Term
315,"bagus , bersih , tetapi kurang strategis .",-,"('posisi', 'kurang strategis', 'negatif')","('bagus', 'kurang strategis', 'negatif')",No Label Matched
319,air panas berfungsi smua oke cuma kurang nya lebih bagus adain telepon di kamar teko buat masak air panas . jadi tidak harus ke dapur minta air panas . terimakasih .,"('teko', 'adain', 'negatif')",-,-,Not Generated
319,air panas berfungsi smua oke cuma kurang nya lebih bagus adain telepon di kamar teko buat masak air panas . jadi tidak harus ke dapur minta air panas . terimakasih .,"('telepon', 'adain', 'negatif')",-,-,Not Generated
320,airy perlu cek standardisasi homestay yang bergabung agar kualitas selalu terjaga .,"('standardisasi', 'perlu cek', 'negatif')","('kualitas', 'selalu terjaga', 'positif')","('kualitas', 'selalu terjaga', 'positif')",No Label Matched
321,"sarapan hari pertama nasi telur bumbu sayur , sayang hari kedua menginap sarapan hanya ada roti dan telur omelet .",-,"('sarapan', 'hanya ada roti', 'negatif')","('sarapan', 'hanya ada roti', 'negatif')",No Label Matched
321,"sarapan hari pertama nasi telur bumbu sayur , sayang hari kedua menginap sarapan hanya ada roti dan telur omelet .",-,"('telur omelet', 'hanya ada satu', 'negatif')","('telur omelet', 'hanya ada sayur', 'negatif')",No Label Matched
327,asyik dikamar ada snack gratis dan air minum kamarnya bersih nyaman cuma air hangatnya saja suka ada suka tidak jadi tidak bisa dipastikan kalau mau pakai air hangat . terimakasih .,"('air hangatnya', 'tidak bisa', 'negatif')",-,-,Not Generated
327,asyik dikamar ada snack gratis dan air minum kamarnya bersih nyaman cuma air hangatnya saja suka ada suka tidak jadi tidak bisa dipastikan kalau mau pakai air hangat . terimakasih .,"('air minum', 'ada', 'positif')","('air hangatnya', 'suka ada', 'positif')","('air hangatnya', 'suka ada', 'positif')",Subset aspect/sentiment
327,asyik dikamar ada snack gratis dan air minum kamarnya bersih nyaman cuma air hangatnya saja suka ada suka tidak jadi tidak bisa dipastikan kalau mau pakai air hangat . terimakasih .,"('kamarnya', 'bersih', 'positif')","('air minum kamarnya', 'bersih', 'positif')","('air minum kamarnya', 'bersih', 'positif')",Different Aspect Term
331,"kamar mandi kotor , selama menginap 3hrhr malam cuma 1 di bersihkan , kamar kotor , minta keset kamar mandi lama , cuma 1x di beri air putih .",-,"('keset kamar mandi', 'lama', 'negatif')","('keset kamar mandi', 'lama', 'negatif')",No Label Matched
336,"kondisi kamar standar banget . saya sering menggunakan airy rooms . tetapi kali ini yang paling tidak nyaman . 1 . ac kurang dingin 2 . tidak ada snack 3 . heater water tidak berfungsi 4 . kamar biasa saja not recomended sih , kalau menurut saya .","('kamar', 'biasa saja', 'negatif')","('kamar', 'biasa saja', 'netral')","('kamar', 'biasa saja', 'netral')",Different Polarity
339,"banyak nyamuk , bau , keset tidak menyerap air , bednya kotor sampai buat badan gatalgatal .","('bednya', 'buat badan gatalgatal', 'negatif')",-,-,Not Generated
339,"banyak nyamuk , bau , keset tidak menyerap air , bednya kotor sampai buat badan gatalgatal .","('keset', 'tidak menyerap', 'negatif')","('keset', 'tidak menyerap air', 'negatif')","('keset', 'tidak menyerap air', 'negatif')",Different Sentiment Term
342,sebel karena restoran tempat sarapan ruangan ber ac tetapi diperbolehkan merokok bau nya sangat mengganggu pernapasan bagi yang tidak merokok .,"('bau', 'mengganggu pernapasan', 'negatif')","('restoran', 'sebel', 'negatif')","('restoran', 'sebel', 'negatif')",Subset aspect/sentiment
342,sebel karena restoran tempat sarapan ruangan ber ac tetapi diperbolehkan merokok bau nya sangat mengganggu pernapasan bagi yang tidak merokok .,"('merokok', 'diperbolehkan', 'negatif')","('restoran', 'tidak merokok', 'negatif')","('restoran', 'tidak merokok', 'negatif')",Subset aspect/sentiment
352,"teko air , meja , peralatan lainnya .",-,"('meja', 'peralatan lainnya', 'negatif')","('meja', 'peralatan lainnya', 'negatif')",No Label Matched
352,"teko air , meja , peralatan lainnya .",-,"('teko air', 'teko air', 'negatif')","('teko air', 'teko air', 'negatif')",No Label Matched
356,"kamarnya sangat bersih , hanya closetnya agak bermasalah bila di flush airnya tidak bisa mengalir deras . overall oke .",-,"('airnya', 'tidak bisa mengalir deras', 'negatif')","('airnya', 'tidak bisa mengalir deras', 'negatif')",No Label Matched
361,fasilitas oke . cuma tv nya kurang bersih antenanya .,"('tv nya', 'kurang bersih antenanya', 'negatif')","('tv nya', 'kurang bersih', 'negatif')","('tv nya', 'kurang bersih', 'negatif')",Different Sentiment Term
361,fasilitas oke . cuma tv nya kurang bersih antenanya .,-,"('antenanya', 'kurang bersih', 'negatif')","('antenanya', 'kurang bersih', 'negatif')",No Label Matched
365,"nah ini tempat walaupun minimalis tetapi nyaman . ac nya dingin , staf ramah . sudah langganan juga he .","('tempat', 'minimalis', 'positif')","('tempat', 'minimalis', 'netral')","('tempat', 'minimalis', 'netral')",Different Polarity
366,"kamar bau , selimut dan handuk kusam . stafnya tidak ramah . kamar tidak sesuai ekspektasi , sempit dan pengap . breakfast seperti makanan untuk kucing , jadi cari sarapan di luar . untuk harga segitu , tidak worth it .","('breakfast', 'seperti makanan untuk kucing', 'negatif')","('breakfast', 'seperti makanan kucing', 'negatif')","('breakfast', 'seperti makanan kucing', 'negatif')",Different Sentiment Term
366,"kamar bau , selimut dan handuk kusam . stafnya tidak ramah . kamar tidak sesuai ekspektasi , sempit dan pengap . breakfast seperti makanan untuk kucing , jadi cari sarapan di luar . untuk harga segitu , tidak worth it .","('harga', 'tidak worth it', 'negatif')",-,-,Not Generated
367,"pesan 2 kamar cuma dapat sandal 2 pasang , kamar bau .",-,"('sandal', 'cuma dapat 2 pasang', 'negatif')","('sandal', 'cuma dapat 2 pasang', 'negatif')",No Label Matched
373,"overall nyamanlah . lokasi dekat stasiun , banyak warung makan dan laundri si sekitar . ac dingin , kamar mandi lumayan tanpa pemanas , tv oke . cuma agak sempit saja dan wifi tidak bisa diakses .","('kamar mandi', 'lumayan', 'positif')","('kamar mandi', 'lumayan tanpa pemanas', 'positif')","('kamar mandi', 'lumayan tanpa pemanas', 'positif')",Different Sentiment Term
373,"overall nyamanlah . lokasi dekat stasiun , banyak warung makan dan laundri si sekitar . ac dingin , kamar mandi lumayan tanpa pemanas , tv oke . cuma agak sempit saja dan wifi tidak bisa diakses .","('laundri', 'banyak', 'positif')",-,-,Not Generated
373,"overall nyamanlah . lokasi dekat stasiun , banyak warung makan dan laundri si sekitar . ac dingin , kamar mandi lumayan tanpa pemanas , tv oke . cuma agak sempit saja dan wifi tidak bisa diakses .","('lokasi', 'dekat stasiun', 'positif')",-,-,Not Generated
373,"overall nyamanlah . lokasi dekat stasiun , banyak warung makan dan laundri si sekitar . ac dingin , kamar mandi lumayan tanpa pemanas , tv oke . cuma agak sempit saja dan wifi tidak bisa diakses .","('pemanas', 'tanpa', 'negatif')","('tv', 'agak sempit', 'negatif')","('tv', 'agak sempit', 'negatif')",Subset aspect/sentiment
373,"overall nyamanlah . lokasi dekat stasiun , banyak warung makan dan laundri si sekitar . ac dingin , kamar mandi lumayan tanpa pemanas , tv oke . cuma agak sempit saja dan wifi tidak bisa diakses .","('warung makan', 'banyak', 'positif')",-,-,Not Generated
375,"diluar perkiraan , harganya murah tetapi mendapatkan kamar yang besar dan fasilitas yang lengkap . sukses terus untuk traveloka dan airy , pahala kalian banyak karena selalu memudahkan urusan banyak orang .","('harganya', 'murah', 'negatif')","('harganya', 'murah', 'positif')","('harganya', 'murah', 'positif')",Different Polarity
377,bersih ramah sayang wifi nya kadang putus koneknya .,"('wifi nya', 'kadang putus', 'negatif')","('wifi nya', 'kadang putus koneknya', 'negatif')","('wifi nya', 'kadang putus koneknya', 'negatif')",Different Sentiment Term
378,"bagus ini nyaman banget yang kurang itu coba saja ada termos yang teko buat masak air panas sama teh saset sama gula jadi pagi "" bisa buat teh . tetapi ini sudah bagus kok .","('termos', 'coba saja ada', 'negatif')","('termos', 'bagus', 'positif')","('termos', 'bagus', 'positif')",No Label Matched
382,"baik semua , cuma ada . 1 fo nya . asam judes . kecut buat . tidak nyaman mrasa kcewa .","('fo nya', 'asam', 'negatif')","('semua', 'asam judes', 'negatif')","('semua', 'asam judes', 'negatif')",Subset aspect/sentiment
382,"baik semua , cuma ada . 1 fo nya . asam judes . kecut buat . tidak nyaman mrasa kcewa .","('fo nya', 'judes', 'negatif')",-,-,Not Generated
382,"baik semua , cuma ada . 1 fo nya . asam judes . kecut buat . tidak nyaman mrasa kcewa .","('fo nya', 'kecut', 'negatif')",-,-,Not Generated
383,"sangat memuaskan . kamar dibersihkan tiap hari , handuk diganti , ada welcome snack , dilengkapi dengan pemanas air dan pengering rambut .","('handuk', 'diganti', 'positif')","('handuk', 'diganti', 'negatif')","('handuk', 'diganti', 'negatif')",Different Polarity
383,"sangat memuaskan . kamar dibersihkan tiap hari , handuk diganti , ada welcome snack , dilengkapi dengan pemanas air dan pengering rambut .","('pemanas air', 'dilengkapi', 'positif')",-,-,Not Generated
383,"sangat memuaskan . kamar dibersihkan tiap hari , handuk diganti , ada welcome snack , dilengkapi dengan pemanas air dan pengering rambut .","('pengering rambut', 'dilengkapi', 'positif')",-,-,Not Generated
384,"koridor terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te .",-,"('suasana tempat', 'te', 'negatif')","('suasana tempat', 'te', 'negatif')",No Label Matched
387,hotel seperti rumah hantu gelap sepi dan tidak ada reseptionisnya .,"('hotel', 'gelap', 'negatif')","('hotel', 'gelap sepi', 'negatif')","('hotel', 'gelap sepi', 'negatif')",Different Sentiment Term
387,hotel seperti rumah hantu gelap sepi dan tidak ada reseptionisnya .,"('hotel', 'sepi', 'negatif')",-,-,Not Generated
389,"sejauh pengalaman menginap baik , kamar cukup baik seauai dengan advertising nya pelayanan ramah , ada breakfast , .","('menginap', 'baik', 'positif')","('pengalaman', 'baik', 'positif')","('pengalaman', 'baik', 'positif')",Different Aspect Term
393,"cukup baik kok . tetapi , kamar yang saya dapat no window . dan handuknya kotor , mengeluh . selebihnya seperti ac dan air panas si oke saja .","('ac', 'oke', 'positif')",-,-,Not Generated
393,"cukup baik kok . tetapi , kamar yang saya dapat no window . dan handuknya kotor , mengeluh . selebihnya seperti ac dan air panas si oke saja .","('air panas', 'oke', 'positif')",-,-,Not Generated
393,"cukup baik kok . tetapi , kamar yang saya dapat no window . dan handuknya kotor , mengeluh . selebihnya seperti ac dan air panas si oke saja .","('window', 'no', 'negatif')","('kamar', 'no window', 'negatif')","('kamar', 'no window', 'negatif')",Subset aspect/sentiment
400,"fitur sih sesuai keterangan di app . tetapi detail keadaan kamar nya perlu di maintain , seperti gagang yang berkarat bahkan kloset tanpa dudukan .","('fitur', 'sesuai keterangan', 'positif')",-,-,Not Generated
400,"fitur sih sesuai keterangan di app . tetapi detail keadaan kamar nya perlu di maintain , seperti gagang yang berkarat bahkan kloset tanpa dudukan .","('gagang', 'berkarat', 'negatif')","(' gagang', 'berkarat', 'negatif')","('. gagang', 'berkarat', 'negatif')",Different Aspect Term
400,"fitur sih sesuai keterangan di app . tetapi detail keadaan kamar nya perlu di maintain , seperti gagang yang berkarat bahkan kloset tanpa dudukan .","('keadaan kamar', 'perlu di maintain', 'negatif')",-,-,Not Generated
