kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil . | (ac, tidak berfungsi optimal, negative); (wifi koneksi, kurang stabil, negative)
kamar rapi bersih , fasilitas cukup lengkap , pelayanan ramah banget . | (kamar, rapi, positive); (kamar, bersih, positive); (fasilitas, cukup lengkap, positive); (pelayanan, ramah banget, positive)
sangat baik . | 
hotel tidak ditemukan sudah mutermuter ikuti peta sampai jam 3 pagi dan sebagai pelanggan sangat kecewa . | (hotel, tidak ditemukan, negative)
bersih . full ac , airnya memang agak asin . | (airnya, agak asin, negative)
lumayan buat istirahat . | 
sayang , breakfastnya sudah ditiadakan oleh airy . | (breakfastnya, ditiadakan, negative)
lokasi dekat , sarapan enak , kebersihan cukup . | (sarapan, enak, positive); (kebersihan, cukup, positive)
sikat gigi tidak ada , sabun tidak ada , pintu tidak bisa dikunci , kamar berisik terdengar suara kendaraa , tidak sesuai ekspektasi dan review . | (sikat gigi, tidak ada, negative); (sabun, tidak ada, negative); (pintu, tidak bisa dikunci, negative); (kamar, berisik, negative)
denah peta ke lokasi kurang jelas , cukup nyaman kalau untuk transit ke kota tujuan , gabung dengan koskosan . | (denah, kurang jelas, negative)
untuk kamar iya oke . sarapan iya yang perlu diperbaiki . | (kamar, oke, positive); (sarapan, perlu diperbaiki, positive)
nyaman banget , airy mantap pkonya . | 
semua sudah cukup baik . | (semua, cukup baik, positive)
very recommended , nyaman . | 
sinyal hp jelek . wifi juga terbatas . | (wifi, terbatas, negative)
nyaman dan bersih sekali , cuma minus showernya mati : ) . | (showernya, mati, negative)
lumayan buat backpakeran seperti kita , harga terjangkau dan dekat dari pusatpusat perbelanjaan . | (harga, terjangkau, positive)
lumayan , lebih seperti kos ber ac , kamar mandi berisik dengan suara tidak jelas , colokan cuma ada 1 jadi saya harus pinjam t , tetapi not bad . | (kamar mandi, berisik, negative); (colokan, cuma ada 1, negative)
bising , kurang bersih . | 
bersih tempatnya . saya suka . cuma air panasnya lagi macet kemarin . | (tempatnya, bersih, positive); (air panasnya, macet, negative)
untuk seprai dan bed nya mungkin bisa di perbaiki lagi . terimakasih . | (seprai, di perbaiki lagi, negative); (bed nya, di perbaiki lagi, negative)
sarapannya biasa saja , kebersihan kurang . | (sarapannya, biasa saja, neutral); (kebersihan, kurang, negative)
berkesan : bersih , lokasi strategis , murah , ramah , dan dapat peralatan mandi . | (lokasi, strategis, positive); (peralatan mandi, dapat, positive)
kurang snack saja . | (snack, kurang, negative)
maaf . kamu tidak jadi menginap karena penerbangan kamu ke bali dibatalkn akibat gunung agung meletus . | 
bagus sekali , kamar nyaman untuk istirahat . | (kamar, nyaman, positive)
tempat nyaman . air hangat ada juga . | (tempat, nyaman, positive); (air hangat, ada, positive)
letak hotel strategis . | (letak hotel, strategis, positive)
makanan breakfastnya enak banyak pilihan . pelayanan memuaskan . pada ramahc juga . akan kembali untuk menginap lain waktu . | (makanan breakfastnya, enak, positive); (makanan breakfastnya, banyak pilihan, positive); (pelayanan, memuaskan, positive); (pelayanan, ramahc, positive)
dekat dengan jatimpark 2 , kamar bersih cuma pada saat datang guest house sedang di renovasi jadi banyak debu . | (kamar, bersih, positive)
kamar jorok , berdebu , banyak sarang labalaba disetiap penjuru dinding . | (kamar, jorok, negative); (kamar, berdebu, negative); (kamar, banyak sarang labalaba, negative)
dekat dengan halte dan stasiun . yang perlu diperbaiki menu sarapan kurang variatif dan wifi macet . kamar minta dibersihkan tetapi kurang bersih , handuk tidak diganti . tetapi untuk lainnya sudah oke . terimakasih . | (menu sarapan, kurang variatif, negative); (wifi, macet, negative); (kamar, kurang bersih, negative); (handuk, tidak diganti, negative); (lainnya, oke, positive)
lokasi sebenarnya strategis , kamar kecil terus ac nya ribut , tv masih pakai antena dalam bantalnya masih bau waktu saya kesana . | (lokasi, strategis, positive); (kamar, kecil, negative); (ac nya, ribut, negative); (bantalnya, bau, negative)
pilihan menu makanan cukup banyak dan enak enak . ada kolam renangnya juga . | (menu makanan, cukup banyak, positive); (menu makanan, enak enak, positive); (kolam renangnya, ada, positive)
igin merubah tanggal . | 
mengecewakan . tidak sesuai dengan foto yang diposting . kamar mandi bad smell . air muncrat sampai keluar kamar mandi saat mandi . resepsionis tidak ada saat mau check - out sehingga harus menunggu lama . hari berikutnya cari hotel yang lain yang lebih baik . | (kamar mandi, bad smell, negative); (resepsionis, tidak ada, negative); (check - out, menunggu lama, negative)
berkesan : harganya super murah , kolam renang bersih . suram : air kerannya bau , beddingnya sudah kusam , ac reyot , selimut tipis , ada suarasuara di tengah malam dari langitlangit . | (harganya, super murah, positive); (kolam renang, bersih, positive); (air kerannya, bau, negative); (beddingnya, kusam, negative); (ac, reyot, negative); (selimut, tipis, negative)
lampu kamar yang terlalu redup . | (lampu kamar, terlalu redup, negative)
tenang dan pelayanan baik . cuma saran saya kalau sudah waktu jam cek in sekitar 2 siang . petugas harus ada ditempat . | (pelayanan, baik, positive)
fasilitas lengkap . ada kitchen juga . untuk harga segitu bisa dibilang murah . stafnya helpfull . kekurangannya shower perlu di perbaiki . | (fasilitas, lengkap, positive); (harga, murah, positive); (stafnya, helpfull, positive); (shower, perlu di perbaiki, negative)
tempat makan lebih baik dikasih dinding atau apa begitu biar tidak langsung menghadap ke kamar . karena risih kalau dilihat . | 
karyawannya ramah . proses check in dan check out pun cepat . terimakasih . | (karyawannya, ramah, positive); (proses check in, cepat, positive); (check out, cepat, positive)
pelayanan oke , kamar lumayan untuk persinggahan istirahat . | (pelayanan, oke, positive); (kamar, lumayan, positive)
stafnya ramah . kamar cukup bersih . sayang sewaktu bermalam terganggu suara toa dan tidak tersedia tisu di kamar . | (stafnya, ramah, positive); (kamar, cukup bersih, positive); (tisu, tidak tersedia, negative)
kamar nyaman , lumayan lah . reccomended . | (kamar, nyaman, positive); (kamar, lumayan, positive)
ac nya bocor , yang lainnya bagus pelayanan memuaskan . | (ac nya, bocor, negative); (yang lainnya, bagus, positive); (pelayanan, memuaskan, positive)
pelayanan nya ramah dan sangat memuaskan . | (pelayanan nya, ramah, positive); (pelayanan nya, sangat memuaskan, positive)
kebanyakan yang menginap pakai motor , tetapi mobil bisa parkir di luar juga . | 
snacknya kurang , tidak ada kompor listrik , . | (snacknya, kurang, negative); (kompor listrik, tidak ada, negative)
untuk harga murah kualitas sesuai harapan . | (harga, murah, positive); (kualitas, sesuai, positive)
lokasi sangat dekat dengan bandara , cari makan gampang dan dekat . akses gampang . | (akses, gampang, positive)
lokasi mudah dicari , lumayan bersih , cuma seprai dan bantal tidak standar airy , pakai seprai coklat biasa . dapat kamar lantai 3 pojok , wifi susah nyangkut . kalau sekedar untuk tidur semalam sih oke . | (lokasi, mudah dicari, positive); (seprai, tidak standar, negative); (bantal, tidak standar, negative); (wifi, susah nyangkut, negative)
saya dan keluarga sangat puas menginap di tempat ini , harga murah , nyaman , dan letak tempatnya sangat strategis . | (harga, murah, positive); (letak tempatnya, sangat strategis, positive)
keseluruhan good pelayanan . | (keseluruhan, good, positive)
minus tv nya saja salurannya cuma bisa metro tv dan channelchannel tidak jelas overall good ! | (channelchannel, tidak jelas, negative); (overall, good, positive)
kondisi hotel membutuhkan banyak perbaikan dari sisi infrastruktur , kamar sangat sempit , kami check out saat malam hari sehingga tidak tahu bagaimana sarapannya . | (kamar, sangat sempit, negative)
harga murah , kamar besar , super nyaman . | (harga, murah, positive); (kamar, besar, positive); (kamar, super nyaman, positive)
tidak ada telepon di kamar dan telepon hanya tersedia di koridor dengan deringan sangat keras sekali . | (telepon, tidak ada, negative)
tenang , nyaman bersih namun tempatnya agak sulit ditemukan karena berada ditengah tengah kompleks penduduk . | (tempatnya, agak sulit ditemukan, negative)
lokasi strategis , kamar sesuai dengan harga , sarapan kurang enak . | (lokasi, strategis, positive); (kamar, sesuai, positive); (sarapan, kurang enak, negative)
nyaman sekali , betah dan rekomended kalau ke surabaya dst. . | 
cukup bersih dan enak kalau buat backpakeran . | 
parkir kalau malam penuh , mungkin karena ada pengunjung cafe di lantai atas . tetapi so far tidak begitu masalah karena staf hotel siap membantu . | 
lokasi di jalan . raya kartika , hotel bersih , nyaman , harga bersahabat . staf hotel ramah . | (hotel, bersih, positive); (hotel, nyaman, positive); (harga, bersahabat, positive); (staf hotel, ramah, positive)
nyaman dan ramah ada cemilan gratis dari airy love this . | (cemilan gratis, ada, positive)
pelayanan oke , fasilitas big no , dikamar tidak ada keset , flapon seperti rembesan air begitu sudah lumutan , agak bau apek , ac kurang dingin , pembuangan air kamar mandi agak tersumbat , tidak rekomen lah pokok iya . | (pelayanan, oke, positive); (fasilitas, big no, negative); (keset, tidak ada, negative); (flapon, lumutan, negative); (ac, kurang dingin, negative); (pembuangan air kamar mandi, agak tersumbat, negative)
bagus kamar bersih pelayanan nya baik dan ramah . | (kamar, bersih, positive); (pelayanan nya, baik, positive); (pelayanan nya, ramah, positive)
hotelnya dekat dengat sanur dan lapangan renon ! | 
lokasi strategis . kamar bersih dan proses check in cepat . | (lokasi, strategis, positive); (kamar, bersih, positive); (proses check in, cepat, positive)
aksesnya mudah puas banget pokoknya kami sekeluarga . | (aksesnya, mudah, positive)
tempat oke dan dekat pada makanan . | (tempat, oke, positive)
sudah di sampaikan ke airy agent , dan tidak ada penyelesaian sampai sekarang . | 
tidak disediakan handuk , kamar mandi jorok , tidak disediakan air minum . | (handuk, tidak disediakan, negative); (kamar mandi, jorok, negative); (air minum, tidak disediakan, negative)
hotelnya mewah dan bersih , makanannya enak , akses kelokasi perbelanjaan dan hiburan sangat mudah . catatan : harus menunggu beberapa saat untuk check in karena kamarnya belum disiapkan . | (hotelnya, mewah, positive); (hotelnya, bersih, positive); (makanannya, enak, positive); (akses, sangat mudah, positive)
tempat nyaman dan tenang . kamar luas . pelayanan ramah , hade lah . sangat memuaskan . | (tempat, nyaman, positive); (tempat, tenang, positive); (kamar, luas, positive); (pelayanan, ramah, positive)
kami kecewa dengan layanan administrasi yang menerbitkan invoice sangat ribet . | (layanan, sangat ribet, negative)
saya sangat sangat sangat kecewa sekali . | 
kamar nya sempit . | (kamar nya, sempit, negative)
menginap pada tanggal 31 desember , memesan beberapa kamar . sempat bermasalah dengan 1 kamar karena ada krusakan . tetapi di bantu pihak hotel nya , mbak rani , bapak dian dan bapak rudi dengan sangat baik . keluarga kami sangat puas . area luas , bersih . akan kembali lagi nanti . terima kasih hotel dan airy . | (area, luas, positive)
sangat suka . room nya juga bersih . tatanan rapi . dapat snack juga . | (room nya, bersih, positive); (tatanan, rapi, positive); (snack, dapat, positive)
kamar bagus . pelayanan bagus . jadi mau ke bali lagi menginap di sini . | (kamar, bagus, positive); (pelayanan, bagus, positive)
tidak mengecewakan . recommended ! | 
saat pertama kali datang untuk check in , tidak ada orang di resepsionis jadi saya harus masuk dan memanggilmemanggil sampai ruangan belakang . sampai kamar ternyata tidak ada air mineral dan amenities dan baru dikasih ketika kami sudah di kamar . handuk hanya 1 dan tempat tidur berbunyi seperti sudah tua . tutup wc sudah kecoklatan . kamar cukup besar . | (air mineral, tidak ada, negative); (handuk, hanya 1, negative); (tempat tidur, berbunyi, negative); (tutup wc, kecoklatan, negative); (kamar, cukup besar, positive)
ini tempatnya oke . | (tempatnya, oke, positive)
nyaman , pelayanan ramah sekali . | (pelayanan, ramah sekali, positive)
keseluruhan cukup baik iya dengan harga promo yang sangat murah , tetapi kamarnya sempit , dan properti sudah agak usang . | (keseluruhan, cukup baik, positive); (harga promo, sangat murah, positive); (kamarnya, sempit, negative); (properti, agak usang, negative)
cara pemesanan mudah , harga cukup ramah di kantong , kamar bersih , pelayanan bagus , recommended , tempatnya juga di tengah kota . | (cara pemesanan, mudah, positive); (harga, cukup ramah, positive); (kamar, bersih, positive); (pelayanan, bagus, positive)
kamar mandinya kurang bersih , dan kurang lengkap fasilitasnya untuk dikamar mandi , untuk yang lain lumayan . | (kamar mandinya, kurang bersih, negative); (fasilitasnya, kurang lengkap, negative); (yang lain, lumayan, positive)
tidak ada air panasnya . | (air panasnya, tidak ada, negative)
kamar mandinya sedikit sempit dan di kamar ada nyamuk sedikitt . | (kamar mandinya, sedikit sempit, negative); (kamar, ada nyamuk sedikitt, negative)
kamarnya cukup luas . sarung bantal agak kotor dan ruangan agak bau . ac berfungsi dengan baik . dan adik . | (kamarnya, cukup luas, positive); (sarung bantal, agak kotor, negative); (ruangan, agak bau, negative); (ac, berfungsi dengan, positive); (ac, baik, positive)
saya tidak jadi inap , karena ada perubahan jadwal kegiatan dan di airy tidak tersedia kolom refund . | 
tempat bagus , hanya pelayanannya lebih ditingkatkan lagi . saya kesana bersama keluarga , anakanak saya senang sekali dengan kolam renangnya . | (tempat, bagus, positive); (pelayanannya, lebih ditingkatkan lagi, negative)
kedatangan yang kedua dengan harga lebih mahal tetapi seprai sngat kotor . saya minta tolong diganti tetapi katnya tidak ada lagi sprainya dna tidak tahu taro dmna ? saya minta ganti kamar dibilangnya penuh . selain seprai kotor lantai juga kotor . | (seprai, sngat kotor, negative); (seprai, kotor, negative); (lantai, kotor, negative)
saya sangat puas dengan pelayanan di airy , kamar nyaman , kamar mandi bersih . saya akan berlangganan ! | (pelayanan, sangat puas, positive); (kamar, nyaman, positive); (kamar mandi, bersih, positive)
kamar bagus , lokasi hotel agak kedalam . | (kamar, bagus, positive); (lokasi hotel, agak kedalam, neutral)
untuk lokasinya , harga sangat murah . | (harga, sangat murah, positive)
ada snack dan terutama ada bantal lambang airy yang tampak imuet . | (snack, ada, positive)
kamar bersih proses cek in cepat cuma tolong di perhatikan wcx , agak berbau untuk keluruhan oke . | (kamar, bersih, positive); (proses cek in, cepat, positive); (wcx, tolong di perhatikan, negative); (wcx, agak berbau, negative); (keluruhan, oke, positive)
lemari rusak , kotor dan berdebu . | (lemari, rusak, negative); (lemari, kotor, negative); (lemari, berdebu, negative)
puas . bisa istirahat dengan baik . | 
snack selalu diisi ulang , tetapi tempat menginap agak jauh dari lokasi wisata kuliner . apalagi saat waktu sarapan . | (snack, selalu diisi ulang, positive); (tempat, agak jauh, negative)
overall bagus kamar bersih , check in check out cepat , tempat makan skitar hotel banyak , transport ke bandara juanda siap setiap waktu . cuma posisi kamar yang saya ambil berada di lantai 3 dan tidak ada fasilitas lift . | (overall, bagus, positive); (kamar, bersih, positive); (check in, cepat, positive); (check out, cepat, positive); (fasilitas lift, tidak ada, negative)
kamarnya bersih dan pelayanannya juga ramah . | (kamarnya, bersih, positive); (pelayanannya, ramah, positive)
biasa saja . sesuai hargalah . karena syriah , jadi nyman . cuma masmasnya galak . | (masmasnya, galak, negative)
pelayanannya baik . | (pelayanannya, baik, positive)
kamar nyaman , staf ramah . cuma wifi error melulu , pesan with breakfast sampai jam 10 pagi belum diantar , masa harus diingatkan dulu . lampu kamar agak remangremang . | (kamar, nyaman, positive); (staf, ramah, positive); (wifi, error, negative); (lampu kamar, agak remangremang, negative)
kamar agak gelap , furniture sudah tua , seprai dan selimut sudah lama , kloset belangbelang dan tidak ada air hangat . | (kamar, agak gelap, negative); (furniture, tua, negative); (seprai, lama, negative); (selimut, lama, negative); (air hangat, tidak ada, negative)
good , cuma kalau naik tangga ke atas lelah juragan . | 
kamar bersih , tetapi menu sarapannya kurang . | (kamar, bersih, positive); (menu sarapannya, kurang, negative)
room yang bersih . | (room, bersih, positive)
mudahmudahan lain kali dapat yang lebih baik kondisinya , harga boleh murah tetapi tetap kelayakan harus diutamakan . | 
bagus bersih , walau kamar kecil tetapi nyaman , pelayanan ramah , tidak ada breakfast tetapi ada minibar free . sudah baik ditingkatkan lagi . | (kamar, kecil, negative); (kamar, nyaman, positive); (pelayanan, ramah, positive); (breakfast, tidak ada, negative); (minibar free, ada, positive)
lokasi tengah kota . dekat pusat perbelanjaan . tidak nyesal lah . | 
bagus pelayanan nya ramah , beraih juga , . | (pelayanan nya, ramah, positive)
pelayanan baik , fasilitas cukup memadai , kamar bersih dan lingkungan asri . | (pelayanan, baik, positive); (fasilitas, cukup memadai, positive); (kamar, bersih, positive); (lingkungan, asri, positive)
kamar tidak terlalu besar tetapi cukup bersih . cukup puas lah menginap di airy tonotel ini . | (kamar, tidak terlalu besar, negative); (kamar, cukup bersih, positive)
super worth the price ! kamar baru , bersih , air panas ada , ac ada . | (the price, super worth, positive); (kamar, baru, positive); (kamar, bersih, positive); (air panas, ada, positive); (ac, ada, positive)
bersih nyaman , cuma kadang tiba tiba mati listrik . | 
lokasi strategis , ditengah kota dekat giant ekspress , karyawan ramah , tempat nyaman , kamar mandi bersih , minus hot water shower . | (lokasi, strategis, positive); (karyawan, ramah, positive); (tempat, nyaman, positive); (kamar mandi, bersih, positive); (hot water shower, minus, negative)
lumayan murah . ac tidak dingin . kamar mandi kurang bersih . lingkungan sekitar kamar kurang bersih . | (ac, tidak dingin, negative); (kamar mandi, kurang bersih, negative); (lingkungan, kurang bersih, negative)
bagus , nyaman , aman dan bersih . | 
good perlengakapannya juga cukup lengkap . | (perlengakapannya, cukup lengkap, positive)
tempat bersih , staf ramah dan parkir aman . hanya sayang kamar saya banyak nyamuk nya : ( . | (tempat, bersih, positive); (staf, ramah, positive); (parkir, aman, positive); (kamar, banyak nyamuk, negative)
nyaman . cuma shower nya bocor jadi tidak maksimal keluarnya , room 112 . | (shower nya, bocor, negative); (shower nya, tidak maksimal keluarnya, negative)
tidak sesuai di gambar . tembok kusam . pintu kamar mandi rusak . air kamar mandi kotor . ada butiran pasir . | (tembok, kusam, negative); (pintu kamar mandi, rusak, negative); (air kamar mandi, kotor, negative)
kurang memuaskan . wc nya sudah jelek . ac nya berisik . dan tempat sangat tidak nyaman . | (wc nya, jelek, negative); (ac nya, berisik, negative); (tempat, sangat tidak nyaman, negative)
nyaman buat bermalam , tetapi di depan pintu kamar mandi kurang tersedia keset . | (keset, kurang tersedia, negative)
kamar bersih , ac kurang dingin sedikit . namun resepsionis kurang standby . | (kamar, bersih, positive); (ac, kurang dingin sedikit, negative); (resepsionis, kurang standby, negative)
pelayanan buruk . diketerangan resepsionis 24 jam . tetapi tidak bisa check in malam jam 12 an . nomor yang bisa dihubungi langsung tidak aktif . | (pelayanan, buruk, negative)
kondisi kamar dan keseluruhan sangat baik dan aesthetic . cuma perlu diperhatikan lagi di kunci pintu balcon itu tidak berfungsi . | (kamar, sangat baik, positive); (kamar, aesthetic, positive); (keseluruhan, sangat baik, positive); (keseluruhan, aesthetic, positive); (pintu balcon, tidak berfungsi, negative)
tempat parkir sedikit dirapikan . | (tempat parkir, sedikit dirapikan, negative)
lumayan lah . | 
( + ) bersih ( + ) tenang ( + ) proses check in cepat ( - ) petugas resepsionis saat check in galak ( - ) ke lantai 3 naik tangga ( tetapi gud for ur health ) . | (proses check in, cepat, positive); (petugas resepsionis, galak, negative)
pelayanan dan kebersihan memuaskan , meskipun kamar tidak ada lemari . | (pelayanan, memuaskan, positive); (kebersihan, memuaskan, positive); (lemari, tidak ada, negative)
sayangnya hot waternya mati . | (hot waternya, mati, negative)
everythings good , kamar bersih , tempat tidur oke , kamar mandi bersih , pelayanan ramah dan sigap , sarapannya juga enak , hanya saja sarapan tidak berbentuk buffet prasmanan , jadi kurang puas , tetapi porsinya lumayan mengenyangkan . | (everythings, good, positive); (kamar, bersih, positive); (tempat tidur, oke, positive); (kamar mandi, bersih, positive); (pelayanan, ramah, positive); (pelayanan, sigap, positive); (sarapannya, enak, positive); (sarapan, tidak berbentuk buffet prasmanan, negative); (sarapan, kurang puas, negative); (porsinya, lumayan mengenyangkan, positive)
ibu " yang jaga rumah tidak ramah , tidak sambung di ajak komunikasi tetapi satpamnya ramah . | (yang jaga, tidak ramah, negative); (satpamnya, ramah, positive)
tidak ada wifi nya . | (wifi nya, tidak ada, negative)
kamar masih ada bau debu . kamar mandi showernya tersumbat , tidak ada air panas juga . | (kamar, ada bau debu, negative); (kamar mandi showernya, tersumbat, negative); (air panas, tidak ada, negative)
pelayanan baik , terima kasih . | (pelayanan, baik, positive)
kamar oke , toilet kurang bersih wc nya dan juga gorden mandi nya . | (kamar, oke, positive); (toilet, kurang bersih, negative)
pelayanan nya baik dan ramah . kamar hotel juga besar dan bersih . handuk bersih . sarapan nya juga banyak variasinya . | (pelayanan nya, baik, positive); (pelayanan nya, ramah, positive); (kamar hotel, besar, positive); (kamar hotel, bersih, positive); (handuk, bersih, positive); (sarapan nya, banyak variasinya, positive)
hotelnya nyaman dan tenang . | (hotelnya, nyaman, positive); (hotelnya, tenang, positive)
lanjutkan servis yang baik ini . | (servis, baik, positive)
menyenangkan sekali , akan kembali lagi , fasilitas lengkap . | (fasilitas, lengkap, positive)
parkiran cukup luas . | (parkiran, cukup luas, positive)
mantap seperti perumahan begitu . | 
all is oke tetapi untul bathroom agak bau , mungkin karena saluran airnya ? coba di check lagi agar bau tidak sedapnya bisa di kurangi . terimakasih . | (all, oke, positive); (bathroom, agak bau, negative)
tempat nya bersih dan resepsionis nya ramah . | (tempat nya, bersih, positive); (resepsionis nya, ramah, positive)
segala sesuatunya oke tetapi kunci kamar mandinya perlu di perbaiki . | (segala sesuatunya, oke, positive); (kunci kamar mandinya, perlu di perbaiki, negative)
kamar kecil , air lambat , satu ac di bagi dua kamar . cari makan susah , ada jualan , tetapi mau naik haji bulan depan ( mahal gila ) . | (kamar, kecil, negative); (air, lambat, negative)
kamar mandi agak redup , terangin lagi . | (kamar mandi, agak redup, negative)
untuk all overal bagus dan nyaman playann juga baik . cuma sdkit mnambahi untuk seprai ada bekas noda . tetapi untuk harga segitu mantap . | (overal, bagus, positive); (overal, nyaman, positive); (playann, baik, positive); (seprai, ada bekas noda, negative); (harga, mantap, positive)
lumayan untuk liburan keluarga kecil , tempat nyaman dan aman . | (tempat, nyaman, positive); (tempat, aman, positive)
kamar mandinya kurang bersih . | (kamar mandinya, kurang bersih, negative)
toilet kotor dan keran rusak . | (toilet, kotor, negative); (keran, rusak, negative)
kamar nyaman dan tempat strategis . | (kamar, nyaman, positive); (tempat, strategis, positive)
awalnya . kami agak sulit mencari , ternyata ini adalah nama yang sama oggi house yang terdaftar juga di list . | 
sesuai antara harga dan fasilitasnya . kamar bersih . tetapi sayang acara tv kurang bagus sinyalnya . | (harga, sesuai, positive); (fasilitasnya, sesuai, positive); (kamar, bersih, positive); (tv, kurang bagus sinyalnya, negative)
sangat puas so far . dengan airy ( taman remaja kusuma bangsa surabaya ) . | 
secara garis besar cukup bagus dan nyaman . termasuk fasilitas internet . cuma sayangnya , terutama untuk yang muslim seperti saya , susah untuk sholat didalam kamar karena sempit . terima kasih . | (kamar, sempit, negative)
yang berkesan pelayanannya ramah , yang kurang berkesan yaitu ac kamar meneteskan air dari bagian yang mengeluarkan angin . solusi dari pihak hotel yaitu menampung air tadahan pakai wadah . semoga ke depannya bisa diperbaiki . | (pelayanannya, ramah, positive); (ac kamar, meneteskan air, negative)
staf ramah kamar masih kurang bersih . | (staf, ramah, positive); (kamar, kurang bersih, negative)
tidak kedap suara , sehingga suara dari luar kamar terdengar jelas dan itu sangat menganggu , seperti tengah malam ada suara orang dorongdorong trolly . | 
bagus , baik , tempat tenang untuk beristirahat capek kerja di jakarta , breakfast baik . terimakasih airy rooms : ) . | (tempat, tenang, positive); (breakfast, baik, positive)
nyaman , bersih , oke . tetapi sayang tidak dapat snack box nya . pesan 2 kamar , duaduanya tidak di kasih snack box nya . padahal sudah konfirm ke pihak cs hotel . tetapi cuma di suruh tunggu ajja , sampai pulang tidak datangdatang . | (snack box nya, tidak dapat, negative)
breakfast oke . harga relatif murah . | (breakfast, oke, positive); (harga, relatif murah, positive)
lumayan bagus , resepsionis harusnya 24 jam standby . | 
lingkungan asri , bangunan bagus . kebersihan seprai dan bantal tolong diperhatikan . terimakasih . | (lingkungan, asri, positive); (bangunan, bagus, positive); (kebersihan seprai dan bantal, tolong diperhatikan, negative)
layanan baik tempat bersih . | (layanan, baik, positive); (tempat, bersih, positive)
kalau ingin liburan yang suasannya sepi dan tidak terlalu berisik dan tidak terlalu jauh dari tempat wisata ini bisa jadi recomended . | (suasannya, sepi, positive); (suasannya, tidak terlalu berisik, positive)
bagus kamae besar hanya kurang bersih . | (kamae, besar, positive); (kamae, kurang bersih, negative)
mengapa breakfast di tiadakan hufft . | (breakfast, di tiadakan, negative)
tidak bersih , kamar mandi banyak rambutnya , air nya bau . persediaan perlengkapan mandi tidak ada , . | (kamar mandi, banyak rambutnya, negative); (air nya, bau, negative); (persediaan perlengkapan mandi, tidak ada, negative)
kamar mandi kotor , jaringan tv kurang bagus . | (kamar mandi, kotor, negative); (jaringan tv, kurang bagus, negative)
mantap saudara lakilaki . | 
lebih dari cukup untuk di kelasnya . | 
secara keseluruhan tempatnya bagus dan bersih , area smookingnya juga cukup nyaman . hanya yang bertugas sebagai recepsionis sangat kurang perduli dengan keperluan tamu . | (secara keseluruhan tempatnya, bagus, positive); (secara keseluruhan tempatnya, bersih, positive); (area smookingnya, cukup nyaman, positive); (recepsionis, sangat kurang perduli, negative)
kamar biasa saja . | (kamar, biasa saja, neutral)
sangat memuaskan . setiap hari kamar dibersihkan . karyawan hotelnya juga telaten dan baik banget . | (karyawan hotelnya, telaten, positive); (karyawan hotelnya, baik banget, positive)
ac nya kurang dingin . tetapi pelayananya oke . | (ac nya, kurang dingin, negative); (pelayananya, oke, positive)
hotel bersih , pelayanan oke , fasilitas oke . | (hotel, bersih, positive); (pelayanan, oke, positive); (fasilitas, oke, positive)
kamarnya luas dan sarapannya enak . | (kamarnya, luas, positive); (sarapannya, enak, positive)
fasilitas sebanding , cuma perlu di perhatikan desain pembuangan air kamar mandi sepertinya perlu di cat ulang . | (fasilitas, sebanding, positive); (desain pembuangan air kamar mandi, perlu di perhatikan, negative)
perlengkapan mandi tersedia handuk , sikat gigi , odol , sabun , dan sampo . | (perlengkapan mandi, tersedia, positive)
ruangan cukup luas . suka sama pintu kamar mandinya . | (ruangan, cukup luas, positive); (pintu kamar mandinya, suka, positive)
saat check in , resepsionis menelepon administrator untuk ketersediaan kamar , dan saya disuruh pindah ke caba . | 
kamarnya bagus dengan budget segitu nyaman banget . | (kamarnya, bagus, positive); (kamarnya, nyaman banget, positive)
fasilitas lengkap , cuma seprainya terasa gatal dan banyak nyamuk . | (fasilitas, lengkap, positive); (seprainya, terasa gatal, negative); (seprainya, banyak nyamuk, negative)
ac oke . air panas oke . | (ac, oke, positive); (air panas, oke, positive)
kualitas sesuai lah . | (kualitas, sesuai, positive)
pas mau breakfast soto madura sudah tidak ada dagingnya sama sekali , kuah juga keasinan , tetapi untung ada pilihan breakfast lainnya . | (breakfast, tidak ada dagingnya, negative)
saya tidak menyukai kebersihan kamar mandi dikarenakan pada saat saya masuk ke dalamnya , terdapat kecoak mati di toilet dan di bawah shower , kebersihan seprai juga perlu diperhatikan . | (kebersihan kamar mandi, tidak menyukai, negative); (kebersihan seprai, perlu diperhatikan, negative)
bersih dan nyaman . | 
parkir sempit . | (parkir, sempit, negative)
kamar bersih dan rapi keset depan kamar mandi kotor , jika kita menginjaknya dalam kaki basah maka lah . | (kamar, bersih, positive); (kamar, rapi, positive); (keset, kotor, negative)
mungkin beberapa hal harus diperbaiki seperti cat tembok di beberapa titik mengelupas bahkan di lift srickerbya sudah lepas sobek . | 
tempat dan pelayanan oke , tetapi amenities tidak diperbarui setiap hari . | (tempat, oke, positive); (pelayanan, oke, positive); (amenities, tidak diperbarui, negative)
bersih sekali . pemandangan kamarnya enak banget putih bersih . ada tanda arah kiblatnya memudahkan yang islam dalam beribadah . wifi lancar , ac juga bagus banget . | (pemandangan kamarnya, enak banget, positive); (wifi, lancar, positive); (ac, bagus banget, positive)
kurangnya kebersihan kamar mandi dan lorong menuju kamar . untunglah pelayanan cepat tanggap . | (kebersihan kamar mandi, kurangnya, negative); (pelayanan, cepat tanggap, positive)
