1 | oke banget , tetapi ac nya tidak bisa diatur suhu nya . | (ac nya, tidak bisa diatur, negative)
162 | cukup memuaskan , harga terjangkau dapat snack sama mnum lagi free . | (harga, terjangkau, positive); (snack, dapat, positive); (mnum, dapat, positive)
163 | nyaman banget , sepi , dekat kota dan mall . | 
164 | sangat baik . semua fasilitas yang dijanjikan ada . | 
165 | cukup nyaman , tetapi di lantai tiga tidak ada wifi . wifinya tidak menjangkau kamar . | (wifi, tidak ada, negative); (wifinya, tidak menjangkau, negative)
166 | sangat menyenangkan bersih dan nyaman . | 
167 | semuanya bagus . tempat bersih , wifi cepat , yang punyanya ramah , pokoknya luar biasa . kekurangannya cuma terlalu masuk ke dalam sih , jadi agak sulit nyarinya : ) . | (semuanya, bagus, positive); (tempat, bersih, positive); (wifi, cepat, positive); (yang punyanya, ramah, positive)
168 | semuanya bagus . tempat bersih , wifi cepat , yang punyanya ramah , pokoknya luar biasa . kekurangannya cuma terlalu masuk ke dalam sih , jadi agak sulit nyarinya : ) . | (semuanya, bagus, positive); (tempat, bersih, positive); (wifi, cepat, positive); (yang punyanya, ramah, positive)
169 | semuanya bagus . tempat bersih , wifi cepat , yang punyanya ramah , pokoknya luar biasa . kekurangannya cuma terlalu masuk ke dalam sih , jadi agak sulit nyarinya : ) . | (semuanya, bagus, positive); (tempat, bersih, positive); (wifi, cepat, positive); (yang punyanya, ramah, positive)
170 | kamarnya bagus , rapi , dan bersih , pegawainya juga ramah , parkiran luas . suasana sekitar lokasi penginapan nyaman , dekat dengan tempat makan dan tempat wisata . sayang sekali agak bising suara mobil karena saya dapat kamar di dekat jalan . saluran air di kamar mandi tersumbat sehingga air meluap , dan tidak ada air panas . | (kamarnya, bagus, positive); (kamarnya, rapi, positive); (kamarnya, bersih, positive); (pegawainya, ramah, positive); (parkiran, luas, positive); (suasana, nyaman, positive); (saluran air, tersumbat, negative); (air panas, tidak ada, negative)
171 | kamarnya bersih dan rapi , ac nya sejuk , tersedia free snack dan air mineral . cuma karena kamarnya berada di lantai 4 , dan hanya tersedia tangga manual , jadi agak males ketika mau keluar kamar , bahkan hanya untuk sekedar sarapan sekalipun . namun demikian untuk penilaian secara umum baik . | (kamarnya, bersih, positive); (kamarnya, rapi, positive); (ac nya, sejuk, positive); (free snack, tersedia, positive); (air mineral, tersedia, positive); (secara umum, baik, positive)
172 | cukup baik untuk airy eco . | 
173 | kami sangat puas dengan hotelnya , recomended banget deh pokoknya . | (hotelnya, sangat puas, positive); (hotelnya, recomended, positive)
174 | hotel yang bagus , tetap pertahankan . | (hotel, bagus, positive)
175 | lumayan bagus untuk harga yang ada hanya saja kloset otomatisnya tidak bisa jalan kamar 408 . sehingga saya harus turun ke toilet lobi untuk kebutuhan kloset . | (kloset otomatisnya, tidak bisa jalan, negative)
176 | kamarnya sangat luas dan bersih . kamar mandi oke pokoknya semuanya oke . bahkan dapat snack dan perlengkapan sanitasi yang bisa dibawa pulang . pokoknya puas banget . | (kamarnya, sangat luas, positive); (kamarnya, bersih, positive); (kamar mandi, oke, positive); (semuanya, oke, positive); (snack, dapat, positive); (perlengkapan sanitasi, dapat, positive)
177 | pas banget buat liburan , kmna dekat . | 
178 | hotel yang lumayan , terjangkau , dekat dengan stasiun cukup jalan kaki , kemana mana juga dekat mudah di akses , sayang lagi renovasi dan kamar mandi banyak yang perlu di perbaiki . | (hotel, lumayan, positive); (hotel, terjangkau, positive); (kamar mandi, banyak yang perlu di perbaiki, negative)
179 | untuk harga segitu lumayan , sayangnya air shower nya kurang kencang mengalirnya . | (air shower nya, kurang kencang mengalirnya, negative)
180 | enak banget nyaman , feels like home . | 
181 | cukup baik tetapi menurut saya overpriced karena kamarnya kecil dan sarapannya kurang oke rasanya dan minimimalis . | (kamarnya, kecil, negative); (sarapannya, kurang oke, negative); (sarapannya, minimimalis, negative)
182 | kamar luas , tempat nya agak masuk ke dalam gang , sinyal wifi tidak stabil , staf ramah , parkiran luas . | (kamar, luas, positive); (wifi, tidak stabil, negative); (staf, ramah, positive); (parkiran, luas, positive)
183 | walaupun harganya murah , tetapi kelasx bukan murahan . sangat recommended buat ini hotel . | (harganya, murah, positive); (kelasx, bukan murahan, positive)
184 | lumayan lah , kamar besar , pelayanannya oke , cuma wifinya susah sambung , sarapan nya kurang bervariasi . | (kamar, besar, positive); (pelayanannya, oke, positive); (wifinya, susah sambung, negative); (sarapan nya, kurang bervariasi, negative)
185 | lumayan . cocok buat salesman . sayang tidak ada air panas dan wifi . | (air panas, tidak ada, negative); (wifi, tidak ada, negative)
186 | pegawainya ramah , kamarnya bersih , nyaman , akses ke alunalun juga dekat , recomended banget pokoknya . | (pegawainya, ramah, positive); (kamarnya, bersih, positive); (kamarnya, nyaman, positive)
187 | baguus banget . sesuai sama yang difoto . | 
188 | mantap , lumayan bersih , ada kulkasnya cuma kulkasnya kotor , cuma tetap saya masukkan minum tetapi ditutupin plastik , dekat tempat kuliner , dapat hadiah pemandangan gedung gedung tinggi : ) . | (kulkasnya, kotor, negative)
189 | mantap , lumayan bersih , ada kulkasnya cuma kulkasnya kotor , cuma tetap saya masukkan minum tetapi ditutupin plastik , dekat tempat kuliner , dapat hadiah pemandangan gedung gedung tinggi : ) . | (kulkasnya, kotor, negative)
190 | kami datang pagi pagi , tetapi tetap dilayani dengan baik . kondisi kamar dan fasilitas lainnya cukup bersih dan berfungsi dengan baik . | (dilayani, baik, positive); (kamar, cukup bersih, positive); (fasilitas lainnya, cukup bersih, positive); (fasilitas lainnya, berfungsi dengan baik, positive)
191 | suka banget , kamarnya beesih , staf ramah dan helpful . | (kamarnya, beesih, positive); (staf, ramah, positive); (staf, helpful, positive)
192 | ac nya per 30 menit mati . alhasil saya tidak nyenyak tidur karena jagain ac supaya tetap on . supaya anak istri bisa tidur . kamar mandi nya agak seram . begitu saja ! think again lah ! | (ac nya, per 30 menit mati, negative); (kamar mandi nya, agak seram, negative)
193 | cukup baik . cuma remote tv tidak berfungsi . | (remote tv, tidak berfungsi, negative)
194 | suasana di sekitar sangat tenang . recomended banget . | (suasana, sangat tenang, positive)
195 | kamarnya nyaman , fasilitas oke , recommended banget deh . terutama buat para traveller seperti kami . dengan adanya airy room semakin mudah , tidak perlu repot cari penginapan atw hotel . next time , kami pesan lagi . | (kamarnya, nyaman, positive); (fasilitas, oke, positive)
196 | hotelnya dekat banget , sama tempat tempat wisata dalam kota . | 
197 | sangat memuaskan saya senang sekali menginap disini . | 
198 | kamar bersih . nyaman , dan fasilitas pelayanan cukup memuaskan . ketenangan dalam beristirahat sangat rekomended . | (kamar, bersih, positive); (kamar, nyaman, positive); (fasilitas pelayanan, cukup memuaskan, positive)
199 | kamar luas bersih dan staf nya ramah , dari hotelnya cukup puas , box mill ariy nya tidak ada kata pekerja hotel mereka suda email ke pusat ariy tetapi belum ada tanggapan dari ariy , tolong ariy direspon dengan cepat , jangan sampai penginap kecewa . | (kamar, luas, positive); (kamar, bersih, positive); (staf nya, ramah, positive)
200 | hotel yang sangat mengerti kebutuhan tamu yang akan transit kebatam , . | 
201 | lumayan oke lah buat traveller . | 
202 | bagus , nyaman , sangat dekat dengan stasiun kereta sawah besar . makanannya standar tetapi . siaran tv nya juga bisa di tambah seharusnya . staf ramah dan membantu . no deposit . | (makanannya, standar, negative); (staf, ramah, positive); (staf, membantu, positive)
203 | sangat baik , pelayanan ramah . | (pelayanan, ramah, positive)
204 | rekomen banget di hotel ini , bersih dan nyaman . | 
205 | sangat berkesan karena pelayanan baik , komplit , plus bisa pesan makanan jadi tidak perlu jauh " keluar . | (pelayanan, baik, positive); (pelayanan, komplit, positive)
206 | baik sangat nyaman sekali . promo di airi menyenangkan . | 
207 | sangat nyaman terima kasih pegawainya ramah bersih dan dekat kemana mana pokonya betah . | (pegawainya, ramah, positive)
208 | ac tidak bekerja dengan baik , saya bhkn upgrade ke suite room , ruangan tetap tidak dingin . membuat saya tidak bisa istirahat . | (ac, tidak bekerja dengan baik, negative); (ruangan, tidak dingin, negative)
209 | pintu gerbang di lock hanya penghuni bulanan yang dapat kunci . jadi kalau pulang malam , agak kesusahan , harus bangunin orangorang . tetapi suasananya sepi . | (suasananya, sepi, positive)
210 | sangat nyaman , bersih dan lokasinya strategis . | (lokasinya, strategis, positive)
211 | sangat buruk , tempat hotel horor , kamar tidak nyaman , setiap lorong suram lampu redup , wifi tidak kencang di lantai 3 . | (tempat hotel, horor, negative); (kamar, tidak nyaman, negative); (lampu, redup, negative); (wifi, tidak kencang, negative)
212 | agak seram iya . banyak gbrgbr anehaneh . gelapgelap . tidak bisa tidur semlman . | 
213 | tidak sesuai foto terlalu brusik dari luar . | 
214 | tidak sesuai foto terlalu brusik dari luar . | 
215 | kamar mandi nya kotor banget . mati lampu 2kali dan lumayan lamaa . | (kamar mandi nya, kotor banget, negative)
216 | seprainya kotor seperti bekas darah begitu . jijik banget , baru ktahuan malam karena di tutup sama selimut . | (seprainya, kotor, negative)
217 | bagus , tetapi lebih nyaman kalau ac tidak terlalu jauh apalagi terbatas tembok . | 
218 | bagus , tetapi lebih nyaman kalau ac tidak terlalu jauh apalagi terbatas tembok . | 
219 | tisu toilet tidak ada , untuk yang lainlainnya lumayan bagus . | (tisu toilet, tidak ada, negative)
220 | cukup memuaskan dengan harga yang sangat terjangkau . | (harga, sangat terjangkau, positive)
221 | sangat mengecewakan . diberikan room yang lembab , kurang baik dari room lainnya , pembuangan air di kamar mandi tidak lancar , tidak ada sinyal . terletak di daerah yang strategis , pusat kota . | (room, lembab, negative); (room, kurang baik, negative); (pembuangan air, tidak lancar, negative); (daerah, strategis, positive)
222 | mantap sangat . | 
223 | masak hotel tidak ada gedet ? tidak ada petugas yang berjaga ? sungguh terlalu . | (petugas yang berjaga, tidak ada, negative)
224 | masak hotel tidak ada gedet ? tidak ada petugas yang berjaga ? sungguh terlalu . | (petugas yang berjaga, tidak ada, negative)
225 | kamar sempit , air di kamar mandi tidak keluar dari maghrib sampai tengah malam smpesmpe tidak bisa gosok gigi sbelum tidur , sangat mengecewakan . | (kamar, sempit, negative); (air, tidak keluar, negative)
226 | bingung sampai mutermuter cari airy hotel nya . telepon pelayanan nya , terlalu banyak pertanyaan yang harus dijawab hanya untuk tahu alamat airy yang sebenarnya . aneh satu alamat terdapat dua hotel . | 
227 | bingung sampai mutermuter cari airy hotel nya . telepon pelayanan nya , terlalu banyak pertanyaan yang harus dijawab hanya untuk tahu alamat airy yang sebenarnya . aneh satu alamat terdapat dua hotel . | 
228 | strategis , nyaman . tetapi dapat lantai 5 tidak ada lift . jadi lumayan naikturunnya . | (lift, tidak ada, negative)
229 | ( - ) kamar mandi kurang bersih berkerak . air beberapa kali mati , utamanya ketika subuh . tidak disediakan keset . air panas untuk minum siap baru jam 7 . ruangan terlalu sempit , tidak cukup space untuk sholat . sinyal hp di kamar mati suri ( + ) lokasi bagus , menyewakan motor , wifi kencang . | (kamar mandi, kurang bersih, negative); (air, beberapa kali mati, negative); (keset, tidak disediakan, negative); (ruangan, terlalu sempit, negative); (lokasi, bagus, positive); (wifi, kencang, positive)
230 | keren banget . mau singgah lagi . | 
231 | tempatnya enak , iya walaupun agak masuk gang kecil tetapi mobil masih bisa masuk kok . dekat juga sama malioboro , paling tidak kalau aku ke jogja lagi kayaknya bakal menginap disini lagi . | (tempatnya, enak, positive)
232 | alhamdulillah cukup puas , roof top nya keren , makanan di restonya enak . air hangat untuk mandi tidak berfungsi . | (roof top nya, keren, positive); (makanan, enak, positive); (air hangat, tidak berfungsi, negative)
233 | sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya ! | (pelayanan, sangat baik, positive)
234 | pas banget buat kelas seperti saya , pas di dompet harganya . | 
235 | menginap 4 hari disini sangat menyenangkan . | 
236 | kamar lumayan tetapi tolong dengan sangat resepsionis jangan judes dan galak begitu , tidak ada sopan santun . tidak pantas jadi resepsionis . semoga bisa diperbaiki . | (kamar, lumayan, positive); (resepsionis, judes, negative); (resepsionis, galak, negative); (sopan santun, tidak ada, negative)
237 | lokasi di perumahan dan pojok sekali , tetapi daerah itu cukup oke untuk yang mau ke jalan namanama gunung di malang karena dekat . | 
238 | sangat menyenangkan . | 
239 | tetap baik dan nyaman . semoga terus berinovasi . | 
240 | lumayan asyik . | 
241 | dekat dengan bandara , walaupun sedikit sempit dan harus naik tangga kalau mau ke kasur tetapi untuk yang niatnya cuma transit sudah cukup memadai . tombol lampu sebaiknya dipindah di dekat kasur saja supaya gampang diakses . | 
242 | sangat puas . terbaik . | 
243 | sangat merekomendasikan , tempatnya memuaskan . | (tempatnya, memuaskan, positive)
244 | lokasi agak kedalam . tidak ada tanda tanda di jalan besar sehingga menyulitkan pencarian . | 
245 | kamar mandi kotor dan retakretak . penerangan kamar kurang jadi terkesan gelap . kelebihannya lokasi hotel dekat bandara jadi untuk penerbangan pagi sangat membantu . terima kasih . | (kamar mandi, kotor, negative); (kamar mandi, retakretak, negative); (penerangan kamar, kurang, negative); (penerangan kamar, gelap, negative)
246 | lumayan . cuma tidak ada kesed , sama sandal . | (kesed, tidak ada, negative); (sandal, tidak ada, negative)
247 | lumayan lah . sesuai harga . tetapi jauh tmpatnya . | 
248 | staf ramah , pelayanan memuaskan , kamar dan toilet bersih dan bagus . sangat direkomendasi . sarapan cuma ada 3 menu , nasi goreng , mie goreng dan omelet . sarapan ditingkatkan lagi . thank you airy dan premium hotel . | (staf, ramah, positive); (pelayanan, memuaskan, positive); (kamar, bersih, positive); (kamar, bagus, positive); (toilet, bersih, positive); (toilet, bagus, positive); (sarapan, ditingkatkan lagi, positive)
249 | tempatnya bersih , nyaman , pemiliknya ramah , rekomen banget . dekat dari stasiun . senen juga . | (tempatnya, bersih, positive); (tempatnya, nyaman, positive); (pemiliknya, ramah, positive)
250 | tempatnya nyaman dan pegawainya ramah . rekom banget buat yang inap disana . | (tempatnya, nyaman, positive); (pegawainya, ramah, positive)
251 | lumayan buat istirahat sesaat . terimakasih . | 
252 | cuma ada beberapa masukan . 1 . jika malam banyak nyamuk , mungkin karena depan nya tempat sampah . 2 . kurang nya gantungan baju . 3 . tidak ada air panas , meskipun ini jakarta , tetap harus ada air panas , saya yang pulang malam jam 12 terpaksa mandi air dingin . 4 . sisanya oke , kamar bersih , pelayanan oke . | (gantungan baju, kurang, negative); (air panas, tidak ada, negative); (sisanya, oke, positive); (kamar, bersih, positive); (pelayanan, oke, positive)
253 | tempat memang tidak strategis . bangunannya pun sudah usang dan tidak terurus karena hotelnya sangat sepi . beberapa fasilitas hotel pun ada yang rusak , contohnya ac , shower , kasur , kunci lemari . walaupun yang menginap sedikit , tetapi tetap saja di buatkan sarapan . iya sesuai lah sama budget kita . overall hotelnya lumayan bagus kok . terima kasih ~ . | (tempat, tidak strategis, negative); (bangunannya, usang, negative); (bangunannya, tidak terurus, negative); (beberapa fasilitas, rusak, negative); (overall hotelnya, lumayan bagus, positive)
254 | tempat memang tidak strategis . bangunannya pun sudah usang dan tidak terurus karena hotelnya sangat sepi . beberapa fasilitas hotel pun ada yang rusak , contohnya ac , shower , kasur , kunci lemari . walaupun yang menginap sedikit , tetapi tetap saja di buatkan sarapan . iya sesuai lah sama budget kita . overall hotelnya lumayan bagus kok . terima kasih ~ . | (tempat, tidak strategis, negative); (bangunannya, usang, negative); (bangunannya, tidak terurus, negative); (beberapa fasilitas, rusak, negative); (overall hotelnya, lumayan bagus, positive)
255 | saya rasa terlalu banyak kalau deposit nya rp.100.000 . hotel lain ratarata cuma rp.50.000 . | 
256 | saya rasa terlalu banyak kalau deposit nya rp.100.000 . hotel lain ratarata cuma rp.50.000 . | 
257 | sangat nyaman . | 
258 | agak berbeda dengan kamar biasa , souvernir makanan ringan di kamar sampai perlengkapan toilet khusus dari airy . tidak nyesal milih hotel dengan airy room . murah tetapi juga sangat memuaskan . next pasti akan pakai airy room lagi . | 
259 | agak berbeda dengan kamar biasa , souvernir makanan ringan di kamar sampai perlengkapan toilet khusus dari airy . tidak nyesal milih hotel dengan airy room . murah tetapi juga sangat memuaskan . next pasti akan pakai airy room lagi . | 
260 | lumayan nyaman . cuma kamar nya agak sempit . tetapi good lah untuk sesekali . | (kamar nya, agak sempit, negative); (kamar nya, good, positive)
261 | kecewa banget . | 
262 | saluran air di westafel buntu , handuk kasar jaringan wifi tidak smpai karena dapat kamar paling ujung untuk air di showernya agak bermasalah dengan air pnas dan dinginnya sehingga yang berfungsi cuma air panasnya . mau keluhan nanggung karena cuma sebentar disini dan harus jalan kaki kedepan jauh banget karena dapat kamar paling ujung :/ . | (saluran air, buntu, negative); (handuk, kasar, negative); (wifi, tidak smpai, negative); (showernya, agak bermasalah, negative)
263 | saya baru pertama kali pakai airy room dan agak kecewa sekali , tolong iya mbak nya gausah galak begitu , pelayanannya kurang baik . | (mbak nya, gausah galak begitu, negative); (pelayanannya, kurang baik, negative)
264 | lumayan yang penting bisa buat istirahat , cuma kamar mandinya masih kurang bersih . | (kamar mandinya, kurang bersih, negative)
265 | terlalu seram dan resepsionis tidak tanggap , ditelepon tidak pernah diangkat . | (resepsionis, tidak tanggap, negative)
266 | terlalu seram dan resepsionis tidak tanggap , ditelepon tidak pernah diangkat . | (resepsionis, tidak tanggap, negative)
267 | bersih dan nyaman juga sangat ramah . | 
268 | tidak disiapkan air putih , sabun . tetapi cukup nyaman . | (air putih, tidak disiapkan, negative); (sabun, tidak disiapkan, negative)
269 | tempatnya sempurna , ketika didepan pantai losari , namun sayang acnya kurang dingin padahal sudah lapor namun tetap tidak bisa dingin . | (tempatnya, sempurna, positive); (acnya, kurang dingin, negative)
270 | kamar bagus , rapi , enak air panasnya agak lama iya baru panas puas banget dan recommended banget . | (kamar, bagus, positive); (kamar, rapi, positive); (kamar, enak, positive); (air panasnya, agak lama, negative)
271 | sangat bagus dan memuaskan sekali menginapbnya . | 
272 | saya sangat kecewa . saya jauh jauh mana mencari alamt nya salah hotel di dalam . sdah sampae sana bahkan di suruh samlai jam 2 . akhir nya saya pergi tanpa harus pernah masuk hotel ini . walau 1 menit sekalipun . bagai mana tanggapan nya . | 
273 | sangat terbantu . | 
274 | lumayan , pelayanan cukup , sayang musholla kurang memadai , dan tidak ada lift . | (pelayanan, cukup, positive); (musholla, kurang memadai, negative); (lift, tidak ada, negative)
275 | ini recommended banget . terimakasih airy room . | 
276 | cukup baik , dekat dengan supermall karawaci , kamar bersih , ada ac , tv , dan air panas nya juga . | (kamar, bersih, positive); (ac, ada, positive); (tv, ada, positive); (air panas, ada, positive)
277 | kamar nya bersih , pelayan nya juga baik , akses nya gampang . kamar mandi nya oke , cuma air panas nya mati , so lumayan lah . | (kamar nya, bersih, positive); (pelayan nya, baik, positive); (akses nya, gampang, positive); (kamar mandi nya, oke, positive); (air panas nya, mati, negative)
278 | cukup nyaman , kamar bersih , sarapan pagi banyak pilihan . | (kamar, bersih, positive); (sarapan pagi, banyak pilihan, positive)
279 | sangat memuaskan . seprai dan handuknya wangi , kamarnya cukup bersih dan nyaman . ac dan air panasnya berfungsi dengan baik . saluran tv sedikit bermasalah tetapi cukup memuaskan . ini pengalaman kedua saya di airy gunung sahari . terima . kasih . | (seprai, wangi, positive); (handuknya, wangi, positive); (kamarnya, cukup bersih, positive); (kamarnya, nyaman, positive); (ac, berfungsi dengan baik, positive); (air panasnya, berfungsi dengan baik, positive); (saluran tv, sedikit bermasalah, negative); (saluran tv, cukup memuaskan, positive)
280 | ada nyamuk , acnya kurang jos . selain itu oke banget . | (acnya, kurang jos, negative)
281 | desain kamar briliant . kamar tidak terlalu luas dan kamar mandi di dalam . | (desain kamar, briliant, positive)
282 | desain kamar briliant . kamar tidak terlalu luas dan kamar mandi di dalam . | (desain kamar, briliant, positive)
283 | tempatnya oke , price sama kualitas pas . suka banget . | (tempatnya, oke, positive); (price, pas, positive); (kualitas, pas, positive)
284 | lumayan bersih dan terjangkau . bagus ! | 
285 | untuk pelayanan dan kamar sangat nyaman meskipun agak sedikit berisik di malam hari karena suara mus . | (pelayanan, sangat nyaman, positive); (kamar, sangat nyaman, positive)
286 | lumayan bersih dan ramah , cuma kamarnya tidak kedap suara , kebetulan kamar saya dekat dengan resepsionis , kalau resepsionisnya bicara , kedengaran sampai kamar . | (kamarnya, tidak kedap suara, negative)
287 | meskipun luas kamarnya pas , tetapi bersih banget . ada air hangat untuk mandi . bahkan disediakan snack yang buat happy banget . terima kasih airy rooms . | (luas kamarnya, pas, positive); (air hangat, ada, positive); (snack, disediakan, positive)
288 | lumayan . kamarnya agak sempit , jalan menuju ke kamar juga sempit , tidak terlalu nyaman . lift yang berfungsi hanya satu . tetapi lumayan untuk hotel dengan harga seperti itu . | (kamarnya, agak sempit, negative)
289 | lumayan . kamarnya agak sempit , jalan menuju ke kamar juga sempit , tidak terlalu nyaman . lift yang berfungsi hanya satu . tetapi lumayan untuk hotel dengan harga seperti itu . | (kamarnya, agak sempit, negative)
290 | lumayan . kamarnya agak sempit , jalan menuju ke kamar juga sempit , tidak terlalu nyaman . lift yang berfungsi hanya satu . tetapi lumayan untuk hotel dengan harga seperti itu . | (kamarnya, agak sempit, negative)
291 | nyaman banget , ramah semua pegawainya . recommended . cuma perlu sedikit diperbaiki showernya . | (semua pegawainya, ramah, positive); (showernya, perlu sedikit diperbaiki, negative)
292 | nyaman banget pokoknya top banget airy room . | (airy room, top, positive)
293 | sangat puas menginap disini . | 
294 | lumayan , sayang peralatan sanitair nya banyak yang rusak . | (peralatan sanitair nya, rusak, negative)
295 | sangat menyenangkan . tetapi untuk masalah privasi kurang terjaga karena jendela kaca tidak dilengkapi kain trasparan sehingga terlihat jelas dari luar . | (privasi, kurang terjaga, negative)
296 | tidak sesuai kamar sama fotonya . agak kecewa . | (kamar, tidak sesuai, negative)
297 | puas banget menginap disini , depan jatim park 2 dekat mau kemana " terus klu mau beli makan pun banyak yang jual jadi tidak perlu repot " . | 
298 | kamar luas , ada restoran , kolam renang , dan layanan kamar , sayangnya : kamar kotor dan lembab . lingkungan sekitar kotor , kamar mandi kotor . air kecil dan berbau . lokasi kamar ke parkiran cukup jauh seharusnya itu mobil golf stand oleh terus untuk antar jemput tamu . yang sulit ketika check out harus angkat barang sendiri . jalan juga tidak friendly buat gerek koper . | (kamar, luas, positive); (restoran, ada, positive); (kolam renang, ada, positive); (layanan kamar, ada, positive); (kamar, kotor, negative); (kamar, lembab, negative); (lingkungan, kotor, negative); (kamar mandi, kotor, negative); (air, kecil, negative); (air, berbau, negative)
299 | nyaman banget pelanya ramah . | (pelanya, ramah, positive)
300 | lokasi sangat dekat dengan pasar dan strategis , namun hotel kurang bersih , kamar mandi ada ulat kecil kecil sepertinya dari lubang air , setelah disiram bersih beberapa jam kemudian ada lagi , kamar kurang bersih , pelayanan cukup cepat jk diminta bantuan . | (lokasi, strategis, positive); (hotel, kurang bersih, negative); (kamar mandi, ada ulat kecil kecil, negative); (kamar, kurang bersih, negative); (pelayanan, cukup cepat, positive)
301 | lokasi strategis , sangat dekat dengan stasiun cirebon kejaksan . mau cari makan juga gampang karena dekat dengan tempat tempat kuliner khas cirebon . | (lokasi, strategis, positive)
302 | sangat nyaman mungkin pelayanan nya di tingkatkan dan lebih ramah . | (pelayanan nya, di tingkatkan, positive)
303 | pengalaman saya inap disini sejauh ini saya suka sangat nyaman , hanya snack dari airy sisa dari visitor sebelumnya . | 
304 | bagus pelayanan dan good place . recommended banget sudah ! | (pelayanan, bagus, positive); (place, good, positive)
305 | lumayan bagus , hanya air showernya awal panas lamalama dingin . | (air showernya, lamalama dingin, negative)
306 | sangat memuaskan , cekin tengah malam masih di layani . | 
307 | sangat baik , hanya kurang sajadah di kamar . | (sajadah, kurang, negative)
308 | kamarnya bersih , toilet juga bagus beraih . parkir sangat luas . sayangnya tidak ada sarapan saja sih he . sama masuk kedalam bnjar indah agak jauhan over all bagus semua . cocok banget buat kost ekslusif . | (kamarnya, bersih, positive); (toilet, bagus, positive); (parkir, sangat luas, positive); (sarapan, tidak ada, negative); (over all, bagus, positive)
309 | kamarnya bersih , toilet juga bagus beraih . parkir sangat luas . sayangnya tidak ada sarapan saja sih he . sama masuk kedalam bnjar indah agak jauhan over all bagus semua . cocok banget buat kost ekslusif . | (kamarnya, bersih, positive); (toilet, bagus, positive); (parkir, sangat luas, positive); (sarapan, tidak ada, negative); (over all, bagus, positive)
310 | cukup , tetapi keramahan yah agak kurang bagi kami . | (keramahan, agak kurang, negative)
311 | lokasi sangat dekat dengan pia mangkok dan mcdonalds . banyak tempat kuliner di sekitar . wifi juga setara 4g dengan kecepatan rata rata 2mib s . sarapan juga bervariasi . cocok buat anak kecil karena tidak berisik . setara hotel bintang 4 . | (sarapan, bervariasi, positive)
312 | lumayan lah . sayang kamar mandinya agak bagaimana begitu , wcnya flushernya harus diperbaiki . | (kamar mandinya, agak bagaimana begitu, negative); (wcnya flushernya, harus diperbaiki, negative)
313 | tempat nyaman dan strategis dengan tempat wisata jatim park 2 dan bns . air panas nya kadang tidak nyala dan saat saya menginap sedang ada renovasi jadi agak berisik . tetapi overall baik . | (tempat, nyaman, positive); (tempat, strategis, positive); (air panas nya, kadang tidak nyala, negative); (overall, baik, positive)
314 | untuk traveler yang kalau budget ini pas banget tmptnya karena sangat nyaman , bersih , dan enak cuma kurang air panas saja tidak nyala selebihnya mantap pelayanannya juga oke dan 24jam . | (tmptnya, sangat nyaman, positive); (tmptnya, bersih, positive); (tmptnya, enak, positive); (air panas, tidak nyala, negative); (selebihnya, mantap, positive); (pelayanannya, oke, positive)
315 | transit semalam di mataram menginap disini sangat nya . | 
316 | cukup baik tetapi wc nya kurang nyaman . | (wc nya, kurang nyaman, negative)
317 | bagus banget . memuaskan . | 
318 | kamar nyaman , cari makan mudah , tetapi kok sinyal di dalam kamar agak susah . | (kamar, nyaman, positive)
319 | lokasi cukup strategis meskipun di jalan satu mobil . seprai set lebih ditingkatkan kebersihannya . kamar dan kamar mandi akan terasa lebih segar apabila diberi pengharum ruangan . snack ada 3 macam cukup mengenyangkan untuk sarapan . air minum mineral botol sebaiknya yang 600ml , jangan 330ml karena terlalu sedikit ( dari sisi harga juga tidak beda banyak ) . | (lokasi, cukup strategis, positive); (kebersihannya, ditingkatkan, positive)
320 | lokasi cukup strategis meskipun di jalan satu mobil . seprai set lebih ditingkatkan kebersihannya . kamar dan kamar mandi akan terasa lebih segar apabila diberi pengharum ruangan . snack ada 3 macam cukup mengenyangkan untuk sarapan . air minum mineral botol sebaiknya yang 600ml , jangan 330ml karena terlalu sedikit ( dari sisi harga juga tidak beda banyak ) . | (lokasi, cukup strategis, positive); (kebersihannya, ditingkatkan, positive)
321 | untuk backpacker sangat bagus . cuma penjaga nya tidak mau buka pintu kalau pulang lewat dari jam 11 malam . | 
322 | petugas ramah , kamar bersih , fasilitas oke , walau wifinya kadang tidak nyantol ' , saya dan suami cukup puas : ) . | (petugas, ramah, positive); (kamar, bersih, positive); (fasilitas, oke, positive); (wifinya, kadang tidak nyantol, negative)
323 | sangat memuaskan dan nyaman . | 
324 | tolong agak disiplin klok tamu meminta kamarnya di bersihkan . | 
325 | sangat amazing menginap di airy sutoyo hotel dewarna , sudah murah tempat juga nyaman buat istirahat , apalagi breakfastnya juga nikmat tidak asalasalan dengan harga murah kualitas tidak murahan . tetapi yang perlu diperbaiki cuma kebersihan kamar kurang bersih kalau ngepel , overall rekomen banget . | (tempat, nyaman, positive); (breakfastnya, nikmat, positive); (breakfastnya, tidak asalasalan, positive); (harga, murah, positive); (kualitas, tidak murahan, positive); (kebersihan kamar, kurang bersih, negative); (overall, rekomen banget, positive)
326 | suami dan anakanak sangat puas , pokoknya recommended banget . | 
327 | suami dan anakanak sangat puas , pokoknya recommended banget . | 
